Ref,Val,Package,PosX,PosY,Rot,Side
C3,100nF,C_0402_1005Metric,4.5,8.4,90,top
C4,100nF,C_0402_1005Metric,-20.2,11.9,0,top
C5,100nF,C_0402_1005Metric,-14.5,11.9,180,top
C6,100nF,C_0402_1005Metric,-22.3,14.2,90,top
C7,100nF,C_0402_1005Metric,-10.75,12.5,90,top
C8,100nF,C_0402_1005Metric,-10.5,22.5,90,top
C9,100nF,C_0402_1005Metric,-7,12.5,90,top
C10,100nF,C_0402_1005Metric,-8.25,12.5,-90,top
C11,100nF,C_0402_1005Metric,9,22.5,90,top
C12,100nF,C_0402_1005Metric,8.1,11.2,-90,top
C13,100nF,C_0402_1005Metric,10.2,11.2,-90,top
C14,100nF,C_0402_1005Metric,12.1,12.9,180,top
C15,1uF,C_0402_1005Metric,18.4,19.6,0,top
C16,100nF,C_0402_1005Metric,21,16.9,90,top
C17,100nF,C_0402_1005Metric,-7.9,-21,180,top
C18,10uF,C_0805_2012Metric,-8.6,-19.2,180,top
C22,1uF,C_0402_1005Metric,-7.85,-15.25,180,top
C23,2.2uF,C_0603_1608Metric,10.4,-10.6,-90,top
C26,10uF,C_0805_2012Metric,25.2,-7,-90,top
C27,0.002uF,C_0402_1005Metric,20.3,-0.4,0,top
C28,100uF,C_1210_3225Metric,8.225,-2.9,180,top
C32,100nF,C_0402_1005Metric,-13,7.2,90,top
C33,100nF,C_0402_1005Metric,-13.2,14.1,90,top
CR1,SRV05-4L-TP,SOT-23-6_Handsoldering,17,-16,0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-17.5,-7.85,-90,top
D2,TX,LED_0603_1608Metric,7.9,-18.6,180,top
D3,RX,LED_0603_1608Metric,7.9,-22.6,180,top
FB1,1k @ 100MHz,L_0402_1005Metric,5.8,8.4,90,top
FB2,1k @ 100MHz,L_0402_1005Metric,11.6,10.1,90,top
FB3,1k @ 100MHz,L_0402_1005Metric,21.8,14.45,180,top
FB4,1k @ 100MHz,L_0402_1005Metric,5,2.5,180,top
J1,PJ-002A,PJ-002A,-17,-15.7,0,top
J3,12402012E212A,USBC-12402012E212A,17,-24.8,0,top
J6,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical,-24.825,-8.875,180,top
R2,590,R_0402_1005Metric,-14.5,19.3,-90,top
R3,1670,R_0402_1005Metric,-16.9,19.3,-90,top
R4,5490,R_0402_1005Metric,-18.1,19.3,-90,top
R5,15k,R_0402_1005Metric,-7,9.8,90,top
R6,2.2k,R_0402_1005Metric,-9.5,9.8,-90,top
R7,10k,R_0402_1005Metric,-12,12.5,-90,top
R8,15k,R_0402_1005Metric,-11.25,10.75,180,top
R9,15k,R_0402_1005Metric,-9.5,12.5,90,top
R10,5.6k,R_0402_1005Metric,13.5,15.3,90,top
R11,6.8k,R_0402_1005Metric,13.5,17.4,90,top
R12,1Meg,R_0402_1005Metric,7.6,12.9,0,top
R13,1Meg,R_0402_1005Metric,9.7,12.9,0,top
R14,20k,R_0402_1005Metric,15.1,17.9,0,top
R15,10k,R_0402_1005Metric,15.1,19.1,180,top
R16,10k,R_0402_1005Metric,-7.65,-16.9,90,top
R22,20k,R_0402_1005Metric,20.3,-1.6,0,top
R23,220k,R_0402_1005Metric,20.3,0.8,0,top
R24,1k,R_0402_1005Metric,7.6,-20,0,top
R25,1k,R_0402_1005Metric,7.6,-21.2,0,top
S1,219-2MSTR,219-2MSTR,0,-20.25,180,top
S2,219-2MSTR,219-2MSTR,18.25,8.7,180,top
S3,219-2MSTR,219-2MSTR,0,-12,180,top
U1,MCP45HV51-104E/ST,TSSOP-14_4.4x5mm_P0.65mm,-17.7,8.4,0,top
U2,ADG1404YRUZ,TSSOP-14_4.4x5mm_P0.65mm,-17.7,15.4,180,top
U3,AD630ARZ,SOIC-20W_7.5x12.8mm_P1.27mm,0,16.4,0,top
U4,AD620ARZ-REEL7,SOIC-8_3.9x4.9mm_P1.27mm,-9.75,17.5,90,top
U6,OP27GSZ-REEL7,SOIC-8_3.9x4.9mm_P1.27mm,9.75,17.5,90,top
U7,LTC2453IDDB#TRMPBF,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,18.347599,16.949999,180,top
U13,LT1054IDWR,SOIC-16W_7.5x10.3mm_P1.27mm,17.6,-7.9,180,top
